sentence,label,pred,explanation,time_sec
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,neutral,neutral,,1.470805510878563
Marimekko is considering further measures in the matter .,neutral,neutral,,1.4686350338160992
It 's not .,neutral,neutral,,1.5014354176819324
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,positive,,1.4710398875176907
The profit after taxes was EUR 57.7 11.1 million .,neutral,neutral,,1.4689344689249992
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",neutral,neutral,,1.4732429943978786
"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",neutral,neutral,,1.471836131066084
Why not give your bedroom a cool makeover for summer .,neutral,neutral,,1.4661191627383232
"The company operates worldwide and employs in total approximately 47,000 persons .",neutral,neutral,,1.4731858596205711
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",neutral,neutral,,1.4715143032371998
The dividends payable annually shall be deducted from the share subscription price .,neutral,neutral,,1.4684928692877293
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",negative,negative,,1.475537821650505
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,positive,,1.4780291728675365
NWC ANALYSIS :,neutral,neutral,,1.5034636482596397
"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 .",positive,positive,,1.4728873185813427
"Previously , the company expected its 2008 financial performance to remain at the same level as in 2008 .",neutral,neutral,,1.474332008510828
No planned closing date was provided .,neutral,neutral,,1.4810334220528603
The value of the total investment is about EUR 600mn .,neutral,neutral,,1.4778612591326237
Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,negative,negative,,1.4756541922688484
"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands .",neutral,neutral,,1.4811565801501274
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,neutral,neutral,,1.4751596450805664
Most of the dividend will go to the Grimaldi family .,neutral,neutral,,1.4807307869195938
The total value of these two contracts is over EUR 21 million .,neutral,neutral,,1.47708273306489
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,neutral,,1.4746832437813282
"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",positive,positive,,1.5095526650547981
"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",positive,positive,,1.4811860918998718
"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .",neutral,neutral,,1.4789139404892921
"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail .",neutral,neutral,,1.4913257099688053
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",positive,positive,,1.5159117616713047
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,neutral,neutral,,1.4792068600654602
"In a release on Oct. 28 , Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad , both part of the Peab Group .",neutral,neutral,,1.471758108586073
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,neutral,,1.4667061753571033
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,positive,,1.4786357916891575
"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",positive,positive,,1.5428007170557976
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",positive,positive,,1.4988738596439362
"UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products .",neutral,neutral,,1.4831873401999474
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,positive,,1.475916601717472
"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million .",neutral,neutral,,1.4867613948881626
"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",negative,negative,,1.514767523854971
The first stage of the contract covers 133 stores and 600 cash registers .,neutral,neutral,,1.491222932934761
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,positive,positive,,1.4815692342817783
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",positive,positive,,1.4873139075934887
The enterprise value of Maritim Food AS has been determined as approximately EUR15m .,neutral,neutral,,1.4825755059719086
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,,1.4761641547083855
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",negative,negative,,1.4784963689744473
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",negative,negative,,1.4813099019229412
"The final price will be specified by 14 May 2010 , the acquiring company said .",neutral,neutral,,1.4772893860936165
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",neutral,neutral,,1.4712648801505566
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,negative,negative,,1.4748961441218853
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",neutral,neutral,,1.4786611571907997
"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .",positive,positive,,1.4811549335718155
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,neutral,neutral,,1.4770923033356667
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,positive,positive,,1.4876544252038002
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes .",negative,negative,,1.4798027090728283
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,negative,negative,,1.5008386187255383
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,neutral,neutral,,1.4734632782638073
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",negative,negative,,1.474804949015379
"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena .",neutral,neutral,,1.4746386781334877
"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",neutral,neutral,,1.4747096076607704
"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",neutral,neutral,,1.4734098687767982
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,negative,,1.4729891903698444
"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets .",neutral,neutral,,1.4752841405570507
Net sales have been eaten by the weak US dollar .,negative,negative,,1.4703147821128368
Productional situation has now improved .,positive,positive,,1.5103426203131676
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral,neutral,,1.4758134931325912
The energy shot is packed in a 100-millilitre bag with a screw cap .,neutral,neutral,,1.4711870327591896
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,neutral,neutral,,1.4713326692581177
"The value of the order is EUR 700,000 .",neutral,neutral,,1.4719419740140438
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",neutral,neutral,,1.4718056730926037
Return on capital employed rose by 4.8 percentage points to 19.6 % .,positive,positive,,1.4730421043932438
The company says the measures are no longer needed .,neutral,neutral,,1.4758451990783215
Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 .,negative,negative,,1.470590602606535
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",negative,negative,,1.5060294307768345
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,negative,negative,,1.4718658030033112
The trade is in accordance with the agreement announced on 26 March 2008 .,neutral,neutral,,1.4621049351990223
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",neutral,neutral,,1.4680073261260986
The total capacity of the factory will be approximately 100 engines a year .,neutral,neutral,,1.4767376221716404
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,negative,negative,,1.472535464912653
The maximum number of new shares to be offered is 22 million .,neutral,neutral,,1.463600441813469
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",positive,positive,,1.4605944752693176
GyPSii service supports ten different languages including Korean and Russian .,neutral,neutral,,1.46574005484581
No changes in media activity were seen in October compared with September .,neutral,neutral,,1.478177759796381
"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",neutral,neutral,,1.4696573987603188
VNH generates annual net sales of about 5 mln eur and employs 21 people .,neutral,neutral,,1.4711518287658691
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .,neutral,neutral,,1.4779450371861458
"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn .",neutral,neutral,,1.4799273647367954
"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",neutral,neutral,,1.4730280637741089
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive,positive,,1.4850847907364368
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",negative,negative,,1.4759961403906345
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",neutral,neutral,,1.4732125960290432
The transaction is expected to be completed next spring .,neutral,neutral,,1.4864952564239502
"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .",neutral,neutral,,1.4732726588845253
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,negative,,1.4714190028607845
Almost the entire office building will be occupied by Metso .,neutral,neutral,,1.4727292731404305
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,neutral,neutral,,1.4730482436716557
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",negative,negative,,1.5108016058802605
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,neutral,neutral,,1.4720628969371319
The expanded plant is scheduled to be operational by the middle of October 2009 .,neutral,neutral,,1.4702351614832878
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",negative,negative,,1.4781297110021114
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",positive,positive,,1.4742213375866413
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,positive,neutral,,1.4769096709787846
Finnish media group Talentum has issued a profit warning .,negative,negative,,1.469557300209999
"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million .",neutral,neutral,,1.472470574080944
"BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million .",neutral,neutral,,1.4845072142779827
"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .",neutral,neutral,,1.4719550050795078
The sellers were EOSS Innovationsmanagement and a group of private individuals .,neutral,neutral,,1.4735495299100876
This resulted in improved sales figures in Sweden .,positive,positive,,1.495698668062687
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,positive,,1.4980245120823383
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,negative,negative,,1.4585826396942139
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,positive,positive,,1.4626510068774223
The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 .,positive,positive,,1.4735706187784672
Earnings per share EPS amounted to EUR0 .01 .,neutral,neutral,,1.4756534360349178
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,negative,negative,,1.4736740179359913
Work on the assignment has already started and is due for completion in spring 2011 .,neutral,neutral,,1.470386102795601
The value of the contracts is about EUR 3.3 mn .,neutral,neutral,,1.4698196426033974
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .,negative,negative,,1.4682013988494873
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,,1.4686109311878681
"The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at the annual general meeting , scheduled to be held on March 23 , 2009 .",neutral,neutral,,1.4863695204257965
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",neutral,neutral,,1.469566062092781
"LCS 's services cover the whole life cycle of software and information systems , from process modelling and tailored software development , to hosting services , solution management , maintenance and support .",neutral,neutral,,1.4759787172079086
"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .",neutral,neutral,,1.474531501531601
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .,negative,negative,,1.4685928747057915
"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",neutral,neutral,,1.4717480018734932
UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,neutral,neutral,,1.4672464653849602
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",negative,negative,,1.4683437123894691
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",neutral,neutral,,1.4791211560368538
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",neutral,neutral,,1.4744262471795082
Closing of such transaction took place today .,neutral,neutral,,1.4762849360704422
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,positive,positive,,1.4696937575936317
Delivery is expected to take place later this month .,neutral,neutral,,1.4683382883667946
"The number of class A shares remains unchanged at 9,526,089 shares .",neutral,neutral,,1.4725064001977444
Technopolis has approximately 130 customer companies in Jyvaskyla .,neutral,neutral,,1.4683689698576927
Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .,positive,neutral,,1.4662643410265446
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",positive,positive,,1.4734512530267239
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,positive,positive,,1.466533586382866
"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen .",neutral,neutral,,1.4584221243858337
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,neutral,neutral,,1.4923999570310116
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,neutral,neutral,,1.4669327586889267
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,,1.4741150438785553
"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .",positive,positive,,1.4693634435534477
Completion of the transaction is subject to a final agreement and a Due Diligence process .,neutral,neutral,,1.4660613052546978
Viking Line manages well with its current ferries .,positive,positive,,1.4623438157141209
"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",neutral,positive,,1.4631792195141315
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,neutral,neutral,,1.4681315384805202
Stichting Pensioenfonds ABP : 4 118 122 shares representing 5.19 % of the share capital and voting rights .,neutral,neutral,,1.4706191271543503
The order also includes start-up and commissioning services .,neutral,neutral,,1.4693204388022423
"The objective is that trading in the shares will commence on May 2 , 2007 .",neutral,neutral,,1.467323999851942
"The figure includes the change in the fair value of the property portfolio , EUR 26.2 million .",neutral,neutral,,1.4661539532244205
The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .,neutral,neutral,,1.4677267111837864
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive,positive,,1.4588015638291836
"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .",positive,positive,,1.4645899944007397
"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",neutral,neutral,,1.4690836146473885
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",neutral,neutral,,1.4734086506068707
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",neutral,neutral,,1.4718707092106342
It estimates the operating profit to further improve from the third quarter .,positive,positive,,1.469680029898882
"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",positive,positive,,1.4694430194795132
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",negative,negative,,1.4691611900925636
"In a letter to Economic Affairs Minister , the listed Estonian shipping company Tallink asks for the approval to be entitled to a 15 % cut in port fees in 2010 .",neutral,positive,,1.4723713397979736
"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry .",neutral,neutral,,1.4676377028226852
It was decided that the auditors are reimbursed according to invoice .,neutral,neutral,,1.471592228859663
The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .,neutral,neutral,,1.4685893133282661
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",neutral,neutral,,1.4632441438734531
( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),neutral,neutral,,1.4568246006965637
"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .",neutral,neutral,,1.4625109359622002
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",positive,positive,,1.4737331680953503
"Payment for acquired shares will be made in cash , and the price per share will be EUR 1 plus an administration fee .",neutral,neutral,,1.4620556980371475
"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",neutral,neutral,,1.4603858962655067
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,negative,negative,,1.4682644195854664
Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,negative,negative,,1.4704843424260616
Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,neutral,neutral,,1.4692071303725243
"In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",neutral,neutral,,1.4739054068922997
"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",negative,negative,,1.47047708183527
"Operating profit surged to EUR21m from EUR106 ,000 .",positive,positive,,1.4727105870842934
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,neutral,,1.4653093628585339
The idea of saving electricity in data transfer is still a new one .,neutral,neutral,,1.4728917814791203
"The new Kroksberg railway tunnel will be built on a new section of track between Harnosand and Veda , forming part of the line that follows the coast of the Gulf of Bothnia .",neutral,neutral,,1.4727631248533726
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .",negative,negative,,1.4717695340514183
"Financial Statements include the consolidated financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the Corporate Governance Statement .",neutral,neutral,,1.4703218303620815
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,positive,positive,,1.4727538041770458
"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .",positive,positive,,1.4714496657252312
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",neutral,neutral,,1.4756480120122433
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",positive,positive,,1.4720109701156616
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,positive,,1.475941862910986
`` We could be there .,neutral,neutral,,1.477708201855421
"They can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy .",neutral,neutral,,1.4789939261972904
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,,1.4716095440089703
A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,neutral,neutral,,1.4766127094626427
After 1 April 2007 Cencorp will not have any own employees in the territory .,neutral,neutral,,1.4751866571605206
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,positive,,1.4766166284680367
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",positive,positive,,1.4598057866096497
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",positive,positive,,1.4635540656745434
All depends on financing .,neutral,neutral,,1.5437699221074581
"Products include Consumer Electronics devices such as mobile phones and their accessories , set-top boxes , flat panel TVs as well as System Solutions products such as infrastructure systems , modules and other industrial segment products .",neutral,neutral,,1.474858745932579
The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,neutral,neutral,,1.4744600802659988
No other ev3 devices were involved in this action .,neutral,neutral,,1.4717363491654396
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",positive,positive,,1.472834575921297
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,neutral,neutral,,1.4756323471665382
The building will house product development and test laboratories .,neutral,neutral,,1.4703880362212658
The medium-term operative targets of the company remain unchanged .,neutral,neutral,,1.4784906804561615
"Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .",neutral,neutral,,1.4710105285048485
"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added .",neutral,neutral,,1.4753053896129131
"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .",neutral,neutral,,1.4711568281054497
Profit after taxes totaled EUR 12.1 mn .,neutral,neutral,,1.4673904441297054
"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday .",positive,positive,,1.469591822475195
